name,patent_number,application_date,authorization_date,patent_type,status,technology_field,commercialization_value,maintenance_deadline,inventors,related_projects,image_path,file_path
一种基于AI的图像识别装置,ZL20241000001,2024-03-02,2026-02-10,invention,draft,人工智能,4552581,2040-09-17,"[{""name"": ""吴十"", ""affiliation"": ""北京大学"", ""is_corresponding"": true}, {""name"": ""孙八"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}, {""name"": ""李四"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}, {""name"": ""赵六"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}, {""name"": ""王五"", ""affiliation"": ""北京大学"", ""is_corresponding"": false}]",,/uploads/images/patents/3f3b5db9.jpg,
智能数据处理系统,ZL20241000002,2024-01-09,2025-04-26,utility,approved,人工智能,1757162,2034-07-20,"[{""name"": ""孙八"", ""affiliation"": ""浙江大学"", ""is_corresponding"": true}, {""name"": ""钱七"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}, {""name"": ""赵六"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}, {""name"": ""周九"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}]","[{""project_id"": ""26168384-f479-48ba-bdd4-0d8dde5c4365"", ""project_name"": ""关联项目10""}]",,/uploads/files/patents/c797f1fb.pdf
自动化测试平台,ZL20241000003,2024-04-01,2024-10-14,invention,draft,云计算,771396,2042-01-23,"[{""name"": ""王五"", ""affiliation"": ""浙江大学"", ""is_corresponding"": true}, {""name"": ""孙八"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}]","[{""project_id"": ""c64f976d-529c-4a36-a5c7-eca068a31b7f"", ""project_name"": ""关联项目1""}]",/uploads/images/patents/322591f9.png,
分布式存储系统,ZL20241000004,2024-04-20,,design,rejected,人工智能,3133711,2037-02-10,"[{""name"": ""李四"", ""affiliation"": ""北京大学"", ""is_corresponding"": true}, {""name"": ""吴十"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}, {""name"": ""李四"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}]",,,
机器学习模型训练方法,ZL20241000005,2024-05-03,2025-02-27,invention,pending,大数据,2866986,2040-09-01,"[{""name"": ""周九"", ""affiliation"": ""清华大学"", ""is_corresponding"": true}, {""name"": ""孙八"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}, {""name"": ""王五"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}, {""name"": ""张三"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}]","[{""project_id"": ""7f764e94-5528-4929-813e-4ccd65209887"", ""project_name"": ""关联项目10""}]",/uploads/images/patents/6e6604b5.jpg,/uploads/files/patents/0bb1015d.pdf
云计算资源调度系统,ZL20241000006,2024-02-26,2025-06-28,utility,approved,人工智能,2201915,2037-04-07,"[{""name"": ""周九"", ""affiliation"": ""北京大学"", ""is_corresponding"": true}, {""name"": ""李四"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}, {""name"": ""吴十"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}]","[{""project_id"": ""36abde69-4a19-45b5-b2d7-fc62bf71e2eb"", ""project_name"": ""关联项目6""}]",/uploads/images/patents/31f59322.png,/uploads/files/patents/0febfc86.pdf
物联网数据采集装置,ZL20241000007,2024-03-06,,utility,rejected,大数据,3897353,2042-10-12,"[{""name"": ""周九"", ""affiliation"": ""清华大学"", ""is_corresponding"": true}, {""name"": ""孙八"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}]","[{""project_id"": ""c07fafd8-7477-411c-898c-adfd5899b639"", ""project_name"": ""关联项目10""}]",,/uploads/files/patents/0b0758a2.pdf
区块链验证方法,ZL20241000008,2024-01-10,2025-03-20,design,draft,云计算,2050304,2037-07-27,"[{""name"": ""王五"", ""affiliation"": ""复旦大学"", ""is_corresponding"": true}, {""name"": ""吴十"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}, {""name"": ""孙八"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}, {""name"": ""孙八"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}]","[{""project_id"": ""f8e972f9-1b9c-49ba-a8e5-cf1e4d4cf3fe"", ""project_name"": ""关联项目9""}]",,/uploads/files/patents/593a22f1.pdf
智能推荐算法系统,ZL20241000009,2024-01-16,,design,pending,物联网,4387677,2040-01-11,"[{""name"": ""张三"", ""affiliation"": ""北京大学"", ""is_corresponding"": true}, {""name"": ""吴十"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}, {""name"": ""孙八"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}, {""name"": ""吴十"", ""affiliation"": ""上海交通大学"", ""is_corresponding"": false}]",,/uploads/images/patents/4cd2b55e.jpg,
网络安全防护装置,ZL20241000010,2024-06-07,2024-12-20,utility,pending,物联网,3793690,2035-05-17,"[{""name"": ""李四"", ""affiliation"": ""复旦大学"", ""is_corresponding"": true}, {""name"": ""张三"", ""affiliation"": ""清华大学"", ""is_corresponding"": false}, {""name"": ""吴十"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}, {""name"": ""赵六"", ""affiliation"": ""浙江大学"", ""is_corresponding"": false}, {""name"": ""王五"", ""affiliation"": ""复旦大学"", ""is_corresponding"": false}]",,,/uploads/files/patents/aeaef537.pdf
